_id,_depart,_departLane,_departPos,_departSpeed,_departDelay,_arrival,_arrivalLane,_arrivalPos,_arrivalSpeed,_duration,_routeLength,_waitingTime,_waitingCount,_stopTime,_timeLoss,_rerouteNo,_devices,_vType,_speedFactor,_vaporized
veh18,46.00,50214631#2_0,0.20,0.00,0.76,215.00,306917253#1_0,0.20,6.87,169.00,1270.62,6.00,1,0.00,27.23,1,vehroute_veh18 tripinfo_veh18 routing_veh18 fcd_veh18,veh_passenger,0.88,
veh7,18.00,-39179549#0_0,5.10,0.00,0.41,217.00,317183888_0,13.01,11.20,199.00,1749.93,7.00,1,0.00,32.19,1,vehroute_veh7 tripinfo_veh7 routing_veh7 fcd_veh7,veh_passenger,0.89,
veh29,73.00,279585244#1_0,5.10,0.00,0.11,218.00,3785444#3_0,40.95,6.69,145.00,1121.90,6.00,1,0.00,29.93,1,vehroute_veh29 tripinfo_veh29 routing_veh29 fcd_veh29,veh_passenger,0.92,
veh19,48.00,3789703#0_2,4.44,13.08,0.24,220.00,-13904655_0,67.31,6.80,172.00,1232.01,27.00,2,0.00,49.42,1,vehroute_veh19 tripinfo_veh19 routing_veh19 fcd_veh19,veh_passenger,0.94,
veh15,38.00,23076537#0_0,5.10,0.00,0.30,221.00,85418338_0,7.38,8.28,183.00,2006.66,15.00,2,0.00,44.13,1,vehroute_veh15 tripinfo_veh15 routing_veh15 fcd_veh15,veh_passenger,1.12,
veh37,93.00,317183891#0_0,5.10,0.00,0.00,222.00,56007693#1_0,97.86,7.24,129.00,1138.53,18.00,2,0.00,39.12,1,vehroute_veh37 tripinfo_veh37 routing_veh37 fcd_veh37,veh_passenger,0.99,
veh38,96.00,111286353#2_0,5.10,0.00,0.49,226.00,-39117800#2_0,48.42,8.38,130.00,1051.63,6.00,2,0.00,28.14,1,vehroute_veh38 tripinfo_veh38 routing_veh38 fcd_veh38,veh_passenger,1.02,
veh39,99.00,998772221#2_2,0.20,0.00,0.97,230.00,147077493#2_0,91.50,6.98,131.00,816.03,15.00,1,0.00,35.62,1,vehroute_veh39 tripinfo_veh39 routing_veh39 fcd_veh39,veh_passenger,0.97,
veh24,61.00,-80448023#0_0,5.10,0.00,0.68,237.00,-38098902#4_0,25.85,7.84,176.00,1247.65,19.00,4,0.00,54.25,1,vehroute_veh24 tripinfo_veh24 routing_veh24 fcd_veh24,veh_passenger,0.97,
veh49,124.00,-233718299_0,5.10,0.00,0.84,238.00,128396776#2_0,30.91,8.29,114.00,933.62,0.00,0,0.00,14.99,1,vehroute_veh49 tripinfo_veh49 routing_veh49 fcd_veh49,veh_passenger,1.00,
veh22,56.00,-22820607#0_0,5.10,0.00,0.70,243.00,-4540066#3_0,60.43,8.25,187.00,1798.87,17.00,2,0.00,45.80,1,vehroute_veh22 tripinfo_veh22 routing_veh22 fcd_veh22,veh_passenger,1.02,
veh30,76.00,-39944037#1_0,5.10,0.00,0.60,243.00,-130294072#1_0,84.66,6.76,167.00,1187.89,28.00,4,0.00,57.01,1,vehroute_veh30 tripinfo_veh30 routing_veh30 fcd_veh30,veh_passenger,0.95,
veh33,83.00,37692490#1_0,5.10,0.00,0.06,244.00,1049698333#0_0,77.84,9.80,161.00,1446.38,14.00,3,0.00,54.63,1,vehroute_veh33 tripinfo_veh33 routing_veh33 fcd_veh33,veh_passenger,1.18,
veh28,71.00,928725821#3_0,5.10,0.00,0.62,246.00,3708838#2_0,34.84,6.32,175.00,1154.45,14.00,1,0.00,33.07,1,vehroute_veh28 tripinfo_veh28 routing_veh28 fcd_veh28,veh_passenger,0.87,
veh35,88.00,-4395858#5_0,5.10,0.00,0.03,247.00,-4215606#2_0,26.53,8.07,159.00,1200.33,12.00,2,0.00,37.02,1,vehroute_veh35 tripinfo_veh35 routing_veh35 fcd_veh35,veh_passenger,1.01,
veh27,68.00,-3708680#2_0,5.10,0.00,0.14,249.00,-8301214#0_0,32.79,6.25,181.00,1319.47,5.00,1,0.00,36.92,1,vehroute_veh27 tripinfo_veh27 routing_veh27 fcd_veh27,veh_passenger,0.83,
veh5,13.00,-128676689#1_0,5.10,0.00,0.43,250.00,-37865180#0_0,24.19,10.33,237.00,1951.29,24.00,3,0.00,55.41,1,vehroute_veh5 tripinfo_veh5 routing_veh5 fcd_veh5,veh_passenger,0.83,
veh25,63.00,-4395933#5_0,5.10,0.00,0.16,262.00,700758895#1_0,18.84,6.52,199.00,1587.21,21.00,4,0.00,56.63,1,vehroute_veh25 tripinfo_veh25 routing_veh25 fcd_veh25,veh_passenger,0.89,
veh72,181.00,128676689#0_0,5.10,0.00,0.03,269.00,160963287#4_0,15.63,6.43,88.00,573.38,1.00,1,0.00,14.70,1,vehroute_veh72 tripinfo_veh72 routing_veh72 fcd_veh72,veh_passenger,0.91,
veh45,114.00,83806428#1_0,5.10,0.00,0.89,273.00,52288972#1_0,65.23,8.10,159.00,1240.85,6.00,1,0.00,27.41,1,vehroute_veh45 tripinfo_veh45 routing_veh45 fcd_veh45,veh_passenger,1.09,
veh6,16.00,37692282#5_0,5.10,0.00,0.92,283.00,23102758#5_0,28.07,8.54,267.00,2268.63,35.00,6,0.00,80.07,1,vehroute_veh6 tripinfo_veh6 routing_veh6 fcd_veh6,veh_passenger,1.05,
veh43,109.00,-14047194#0_0,5.10,0.00,0.92,286.00,-83806426#4_0,72.12,13.41,177.00,1626.66,10.00,3,0.00,53.35,1,vehroute_veh43 tripinfo_veh43 routing_veh43 fcd_veh43,veh_passenger,1.03,
veh44,111.00,998772221#0_2,5.10,0.00,0.41,288.00,20485040#12_0,103.79,12.43,177.00,2063.11,0.00,0,0.00,20.71,1,vehroute_veh44 tripinfo_veh44 routing_veh44 fcd_veh44,veh_passenger,0.96,
veh4,11.00,12341247#4_0,5.10,0.00,0.95,289.00,-128912367_0,16.34,7.63,278.00,2463.56,38.00,5,0.00,83.75,1,vehroute_veh4 tripinfo_veh4 routing_veh4 fcd_veh4,veh_passenger,1.03,
veh40,101.00,-20485036#3_0,5.10,0.00,0.46,292.00,-13904661_0,37.84,9.61,191.00,1912.35,0.00,0,0.00,29.18,1,vehroute_veh40 tripinfo_veh40 routing_veh40 fcd_veh40,veh_passenger,1.18,
veh66,166.00,13904691#1_0,5.10,0.00,0.11,295.00,233037569_0,48.16,8.29,129.00,959.07,0.00,0,0.00,14.82,1,vehroute_veh66 tripinfo_veh66 routing_veh66 fcd_veh66,veh_passenger,1.02,
veh74,186.00,-39944039#2_0,3.37,0.00,0.00,297.00,-39117802#1_0,43.40,7.23,111.00,896.20,0.00,0,0.00,19.68,1,vehroute_veh74 tripinfo_veh74 routing_veh74 fcd_veh74,veh_passenger,1.02,
veh46,116.00,-11685019#0_0,5.10,0.00,0.38,298.00,384401180_1,15.88,13.92,182.00,1801.99,11.00,4,0.00,53.37,1,vehroute_veh46 tripinfo_veh46 routing_veh46 fcd_veh46,veh_passenger,1.04,
veh53,134.00,59433203#5_0,0.20,0.00,0.79,300.00,52879958_0,58.92,5.98,166.00,1233.07,3.00,2,0.00,27.86,1,vehroute_veh53 tripinfo_veh53 routing_veh53 fcd_veh53,veh_passenger,0.85,
veh0,0.00,372256216#1_0,5.10,0.00,0.00,307.00,-128396777#2_0,94.08,8.53,307.00,2597.94,52.00,7,0.00,115.56,1,vehroute_veh0 tripinfo_veh0 routing_veh0 fcd_veh0,veh_passenger,1.06,
veh58,146.00,-1008992999_1,5.10,0.00,0.22,311.00,-548793704#0_0,21.54,8.16,165.00,1448.54,13.00,3,0.00,47.88,1,vehroute_veh58 tripinfo_veh58 routing_veh58 fcd_veh58,veh_passenger,1.00,
veh16,41.00,-81982573#1_0,5.10,0.00,0.78,313.00,24450825#2_0,77.94,8.25,272.00,2263.60,31.00,4,0.00,71.10,1,vehroute_veh16 tripinfo_veh16 routing_veh16 fcd_veh16,veh_passenger,0.99,
veh67,169.00,-4395890_0,5.10,0.00,0.60,334.00,528916932_0,6.10,8.17,165.00,1315.91,0.00,0,0.00,23.33,1,vehroute_veh67 tripinfo_veh67 routing_veh67 fcd_veh67,veh_passenger,0.99,
veh77,194.00,-41565491#0_0,5.10,0.00,0.46,339.00,37747135#1_0,26.34,12.16,145.00,1294.59,13.00,2,0.00,29.67,1,vehroute_veh77 tripinfo_veh77 routing_veh77 fcd_veh77,veh_passenger,0.94,
veh48,121.00,-4395933#5_0,5.10,0.00,0.35,342.00,3708838#2_0,34.84,8.52,221.00,2159.15,22.00,1,0.00,58.91,1,vehroute_veh48 tripinfo_veh48 routing_veh48 fcd_veh48,veh_passenger,1.09,
veh54,136.00,-48985674_0,5.10,0.00,0.27,343.00,3708681#3_0,33.28,8.59,207.00,2344.82,14.00,2,0.00,49.09,1,vehroute_veh54 tripinfo_veh54 routing_veh54 fcd_veh54,veh_passenger,1.17,
veh57,144.00,432565295#3_0,5.10,0.00,0.73,343.00,20485040#4_0,77.30,14.83,199.00,2203.54,14.00,1,0.00,43.49,1,vehroute_veh57 tripinfo_veh57 routing_veh57 fcd_veh57,veh_passenger,1.10,
veh73,184.00,-59433203#0_0,5.10,0.00,0.52,343.00,317149206_0,0.20,11.91,159.00,1379.02,26.00,3,0.00,54.32,1,vehroute_veh73 tripinfo_veh73 routing_veh73 fcd_veh73,veh_passenger,1.04,
veh17,43.00,4541289#4_0,5.10,0.00,0.27,344.00,35078322#3_1,22.41,7.20,301.00,2291.10,50.00,5,0.00,104.86,1,vehroute_veh17 tripinfo_veh17 routing_veh17 fcd_veh17,veh_passenger,0.93,
veh51,129.00,52879958_0,5.10,0.00,0.81,354.00,-4395858#0_0,21.11,6.23,225.00,1898.76,12.00,2,0.00,39.48,1,vehroute_veh51 tripinfo_veh51 routing_veh51 fcd_veh51,veh_passenger,0.88,
veh68,171.00,12341254#1_0,5.10,0.00,0.08,357.00,-3809981#2_0,25.93,6.68,186.00,1452.05,23.00,3,0.00,53.11,1,vehroute_veh68 tripinfo_veh68 routing_veh68 fcd_veh68,veh_passenger,0.94,
veh32,81.00,-3809980#0_0,5.10,0.00,0.57,361.00,768702586#2_0,39.48,6.67,280.00,2007.31,36.00,4,0.00,83.77,1,vehroute_veh32 tripinfo_veh32 routing_veh32 fcd_veh32,veh_passenger,0.93,
veh82,207.00,-22566799#1_0,5.10,0.00,0.89,361.00,128396774#0_0,66.43,8.06,154.00,1166.03,15.00,2,0.00,40.18,1,vehroute_veh82 tripinfo_veh82 routing_veh82 fcd_veh82,veh_passenger,0.98,
veh10,26.00,-59433205_0,5.10,0.00,0.87,364.00,-354369976#6_0,5.71,6.88,338.00,2240.86,18.00,4,0.00,65.76,1,vehroute_veh10 tripinfo_veh10 routing_veh10 fcd_veh10,veh_passenger,0.86,
veh47,119.00,3785445#3_0,5.10,0.00,0.87,364.00,22820607#0_0,25.05,8.62,245.00,2348.35,31.00,5,0.00,72.91,1,vehroute_veh47 tripinfo_veh47 routing_veh47 fcd_veh47,veh_passenger,1.04,
veh126,317.00,37692415#0_0,5.10,6.15,0.30,370.00,-114208222#1_0,14.12,9.38,53.00,433.40,0.00,0,0.00,7.88,1,vehroute_veh126 tripinfo_veh126 routing_veh126 fcd_veh126,veh_passenger,1.18,
veh59,149.00,-128005879#2_0,5.10,0.00,0.70,378.00,67139158#0_0,44.31,8.20,229.00,1893.41,14.00,2,0.00,56.59,1,vehroute_veh59 tripinfo_veh59 routing_veh59 fcd_veh59,veh_passenger,1.00,
veh97,244.00,111286353#6_0,5.10,0.00,0.19,378.00,-13904706#4_0,25.99,8.20,134.00,1252.66,16.00,2,0.00,37.64,1,vehroute_veh97 tripinfo_veh97 routing_veh97 fcd_veh97,veh_passenger,1.02,
veh90,227.00,-4215667_0,5.10,0.00,0.79,380.00,64270039#1_1,20.10,8.67,153.00,1301.79,0.00,0,0.00,19.85,1,vehroute_veh90 tripinfo_veh90 routing_veh90 fcd_veh90,veh_passenger,1.15,
veh50,126.00,13904645#0_1,5.10,0.00,0.33,383.00,80479196_0,51.65,6.21,257.00,1971.75,28.00,2,0.00,62.21,1,vehroute_veh50 tripinfo_veh50 routing_veh50 fcd_veh50,veh_passenger,0.90,
veh61,154.00,-52321640#1_0,5.10,0.00,0.68,389.00,-13904706#2_0,15.92,8.23,235.00,2336.91,21.00,4,0.00,78.14,1,vehroute_veh61 tripinfo_veh61 routing_veh61 fcd_veh61,veh_passenger,1.14,
veh41,104.00,-231751868#5_0,0.20,0.00,0.95,390.00,360313819_0,140.78,8.18,286.00,2712.86,30.00,5,0.00,79.42,1,vehroute_veh41 tripinfo_veh41 routing_veh41 fcd_veh41,veh_passenger,1.10,
veh81,204.00,4396159#1_0,0.20,0.00,0.41,395.00,-3785444#0_0,25.81,7.81,191.00,1626.62,21.00,5,0.00,61.09,1,vehroute_veh81 tripinfo_veh81 routing_veh81 fcd_veh81,veh_passenger,1.03,
veh109,274.00,32117788#6_1,5.10,0.00,0.03,395.00,37747501_0,62.22,12.70,121.00,1238.89,10.00,1,0.00,26.14,1,vehroute_veh109 tripinfo_veh109 routing_veh109 fcd_veh109,veh_passenger,0.96,
veh99,249.00,13904645#1_0,5.10,0.00,0.17,396.00,12341254#0_0,25.73,6.77,147.00,1047.43,0.00,0,0.00,15.48,1,vehroute_veh99 tripinfo_veh99 routing_veh99 fcd_veh99,veh_passenger,0.83,
veh42,106.00,4395775#1_1,5.10,0.00,0.43,399.00,12341248#0_0,1.77,7.20,293.00,2439.54,23.00,5,0.00,83.69,1,vehroute_veh42 tripinfo_veh42 routing_veh42 fcd_veh42,veh_passenger,0.90,
veh108,272.00,-150800558#0_0,5.10,0.00,0.54,399.00,-37747500#2_0,15.38,8.03,127.00,1099.75,8.00,2,0.00,39.22,1,vehroute_veh108 tripinfo_veh108 routing_veh108 fcd_veh108,veh_passenger,1.06,
veh75,189.00,-14047779#1_0,5.10,0.00,0.49,417.00,360319695#0_1,76.89,13.40,228.00,1731.01,17.00,5,0.00,58.58,1,vehroute_veh75 tripinfo_veh75 routing_veh75 fcd_veh75,veh_passenger,1.02,
veh89,224.00,12341247#4_0,5.10,0.00,0.30,421.00,-4540070#1_0,34.79,7.08,197.00,1954.95,1.00,1,0.00,28.26,1,vehroute_veh89 tripinfo_veh89 routing_veh89 fcd_veh89,veh_passenger,0.97,
veh104,262.00,231751868#4_0,0.20,0.00,0.60,431.00,41565485#0_0,23.44,8.20,169.00,1306.87,33.00,5,0.00,62.48,1,vehroute_veh104 tripinfo_veh104 routing_veh104 fcd_veh104,veh_passenger,1.01,
veh93,234.00,998776255_0,5.10,0.00,0.25,436.00,48482641#0_0,79.94,8.50,202.00,1551.17,11.00,3,0.00,47.77,1,vehroute_veh93 tripinfo_veh93 routing_veh93 fcd_veh93,veh_passenger,1.04,
veh64,161.00,-14047759#5_0,5.10,0.00,0.14,439.00,4215606#1_0,119.99,8.26,278.00,2437.75,30.00,3,0.00,90.01,1,vehroute_veh64 tripinfo_veh64 routing_veh64 fcd_veh64,veh_passenger,1.08,
veh76,192.00,-39944037#1_0,5.10,0.00,0.98,440.00,585819383#0_1,64.39,12.74,248.00,1939.85,48.00,7,0.00,97.93,1,vehroute_veh76 tripinfo_veh76 routing_veh76 fcd_veh76,veh_passenger,0.97,
veh78,197.00,-3818568#0_0,0.20,0.00,0.95,443.00,-30988146#3_0,35.59,7.98,246.00,2356.42,0.00,0,0.00,27.78,1,vehroute_veh78 tripinfo_veh78 routing_veh78 fcd_veh78,veh_passenger,1.06,
veh85,214.00,913333123_0,5.10,0.00,0.35,452.00,-22566799#5_0,1.35,12.93,238.00,2171.19,29.00,4,0.00,71.01,1,vehroute_veh85 tripinfo_veh85 routing_veh85 fcd_veh85,veh_passenger,1.03,
veh138,347.00,3957136#1_0,5.10,0.00,0.14,452.00,24450825#0_0,61.01,6.37,105.00,907.51,0.00,0,0.00,15.08,1,vehroute_veh138 tripinfo_veh138 routing_veh138 fcd_veh138,veh_passenger,0.82,
veh62,156.00,529166764#1_0,5.10,0.00,0.16,453.00,7990022#1_0,23.53,7.87,297.00,2540.05,37.00,5,0.00,86.61,1,vehroute_veh62 tripinfo_veh62 routing_veh62 fcd_veh62,veh_passenger,1.02,
veh117,295.00,37747503#1_1,5.10,0.00,0.92,454.00,-4937392#0_1,55.81,14.35,159.00,1332.43,32.00,3,0.00,66.37,1,vehroute_veh117 tripinfo_veh117 routing_veh117 fcd_veh117,veh_passenger,1.06,
veh71,179.00,998772220#0_1,5.10,0.00,0.54,455.00,374695664#1_0,6.79,7.53,276.00,2570.16,20.00,3,0.00,59.16,1,vehroute_veh71 tripinfo_veh71 routing_veh71 fcd_veh71,veh_passenger,0.91,
veh94,237.00,83806426#2_1,5.10,0.00,0.73,460.00,64270137#3_0,21.15,8.01,223.00,1726.84,44.00,5,0.00,88.00,1,vehroute_veh94 tripinfo_veh94 routing_veh94 fcd_veh94,veh_passenger,1.01,
veh116,292.00,-41565492#1_0,5.10,0.00,0.44,462.00,1049698333#0_0,77.84,8.12,170.00,1420.20,15.00,5,0.00,62.93,1,vehroute_veh116 tripinfo_veh116 routing_veh116 fcd_veh116,veh_passenger,1.03,
veh79,199.00,673136293_0,5.10,0.00,0.44,463.00,296573594#1_0,0.88,7.04,264.00,1928.61,12.00,5,0.00,58.53,1,vehroute_veh79 tripinfo_veh79 routing_veh79 fcd_veh79,veh_passenger,0.96,
veh70,176.00,-37866821#2_1,5.10,0.00,0.06,466.00,-52321642#0_0,26.57,6.29,290.00,2729.10,0.00,0,0.00,40.83,1,vehroute_veh70 tripinfo_veh70 routing_veh70 fcd_veh70,veh_passenger,0.88,
veh60,151.00,530721238#1_0,3.86,0.00,0.19,469.00,46895350#2_0,1.12,6.74,318.00,2174.21,36.00,7,0.00,95.78,1,vehroute_veh60 tripinfo_veh60 routing_veh60 fcd_veh60,veh_passenger,0.90,
veh131,330.00,-44069390#2_0,5.10,0.00,0.73,471.00,330602579_0,44.94,8.44,141.00,1114.12,4.00,1,0.00,29.25,1,vehroute_veh131 tripinfo_veh131 routing_veh131 fcd_veh131,veh_passenger,1.10,
veh152,383.00,-128396777#2_0,5.10,0.00,0.95,472.00,3957125#2_1,84.18,15.33,89.00,831.90,16.00,1,0.00,30.03,1,vehroute_veh152 tripinfo_veh152 routing_veh152 fcd_veh152,veh_passenger,1.16,
veh88,222.00,-3785444#0_0,5.10,0.00,0.81,474.00,135582840#1_0,19.25,7.40,252.00,2099.43,26.00,4,0.00,75.96,1,vehroute_veh88 tripinfo_veh88 routing_veh88 fcd_veh88,veh_passenger,1.02,
veh95,239.00,4937392#0_1,5.10,0.00,0.22,479.00,-3708865#2_0,17.03,12.92,240.00,2498.37,10.00,3,0.00,61.17,1,vehroute_veh95 tripinfo_veh95 routing_veh95 fcd_veh95,veh_passenger,1.02,
veh130,327.00,-231630881#0_0,5.10,0.00,0.25,479.00,244948469#1_0,16.70,7.25,152.00,1196.88,18.00,2,0.00,53.37,1,vehroute_veh130 tripinfo_veh130 routing_veh130 fcd_veh130,veh_passenger,0.94,
veh106,267.00,14332142#2_0,5.10,0.00,0.57,481.00,49961187#1_0,24.39,8.91,214.00,1618.95,16.00,5,0.00,57.65,1,vehroute_veh106 tripinfo_veh106 routing_veh106 fcd_veh106,veh_passenger,1.12,
veh56,141.00,4215600_0,5.10,0.00,0.25,482.00,229119089_0,23.79,8.19,341.00,3036.16,20.00,3,0.00,59.25,1,vehroute_veh56 tripinfo_veh56 routing_veh56 fcd_veh56,veh_passenger,1.02,
veh92,232.00,261557471#0_0,5.10,0.00,0.76,484.00,-13904675#5_0,79.46,8.24,252.00,2111.98,13.00,5,0.00,73.20,1,vehroute_veh92 tripinfo_veh92 routing_veh92 fcd_veh92,veh_passenger,1.00,
veh80,202.00,13904682#3_0,5.10,0.00,0.92,486.00,4395692#0_0,44.16,7.97,284.00,2795.86,14.00,4,0.00,58.55,1,vehroute_veh80 tripinfo_veh80 routing_veh80 fcd_veh80,veh_passenger,0.98,
veh84,212.00,39179549#3_0,5.10,0.00,0.87,486.00,37747500#5_0,7.08,8.58,274.00,2263.98,39.00,6,0.00,100.49,1,vehroute_veh84 tripinfo_veh84 routing_veh84 fcd_veh84,veh_passenger,1.09,
veh154,388.00,4395982#1_0,5.10,0.00,0.92,490.00,52321641#0_1,33.90,12.20,102.00,923.34,0.00,0,0.00,13.78,1,vehroute_veh154 tripinfo_veh154 routing_veh154 fcd_veh154,veh_passenger,1.13,
veh128,322.00,37747135#1_1,5.10,0.00,0.27,491.00,75589201_0,30.30,7.44,169.00,1320.50,43.00,4,0.00,70.33,1,vehroute_veh128 tripinfo_veh128 routing_veh128 fcd_veh128,veh_passenger,0.99,
veh115,290.00,-3789372#0_0,5.10,0.00,0.95,492.00,3809981#1_0,36.57,8.01,202.00,1430.07,47.00,4,0.00,86.66,1,vehroute_veh115 tripinfo_veh115 routing_veh115 fcd_veh115,veh_passenger,1.01,
veh134,337.00,14047501#1_0,5.10,0.00,0.19,493.00,585819383#0_1,64.39,13.32,156.00,1381.97,25.00,2,0.00,42.71,1,vehroute_veh134 tripinfo_veh134 routing_veh134 fcd_veh134,veh_passenger,1.02,
veh110,277.00,-40852756#2_0,5.10,0.00,0.52,503.00,-288026472#1_0,1.90,8.01,226.00,2084.56,0.00,0,0.00,32.90,1,vehroute_veh110 tripinfo_veh110 routing_veh110 fcd_veh110,veh_passenger,0.97,
veh118,297.00,-530721238#0_0,5.10,0.00,0.41,516.00,41592105#1_0,56.18,7.16,219.00,1344.73,26.00,2,0.00,54.12,1,vehroute_veh118 tripinfo_veh118 routing_veh118 fcd_veh118,veh_passenger,0.96,
veh145,365.00,55814730#1_0,5.10,0.00,0.55,517.00,-3809978#1_0,23.77,9.80,152.00,1446.99,13.00,1,0.00,47.95,1,vehroute_veh145 tripinfo_veh145 routing_veh145 fcd_veh145,veh_passenger,1.23,
veh177,445.00,37747135#2_2,5.10,0.00,0.11,522.00,-55668407_0,28.59,7.56,77.00,566.99,2.00,1,0.00,18.58,1,vehroute_veh177 tripinfo_veh177 routing_veh177 fcd_veh177,veh_passenger,0.91,
veh159,400.00,13904650#2_0,5.10,0.00,0.36,532.00,-520012239#1_0,18.27,10.13,132.00,961.85,0.00,0,0.00,16.26,1,vehroute_veh159 tripinfo_veh159 routing_veh159 fcd_veh159,veh_passenger,0.97,
veh167,420.00,83806428#0_1,5.10,0.00,0.25,532.00,-37692198#3_0,64.62,15.30,112.00,934.90,24.00,4,0.00,53.10,1,vehroute_veh167 tripinfo_veh167 routing_veh167 fcd_veh167,veh_passenger,1.18,
veh148,372.00,114208059#2_0,0.20,0.00,0.01,533.00,354359921_1,176.05,13.72,161.00,969.83,56.00,5,0.00,91.10,1,vehroute_veh148 tripinfo_veh148 routing_veh148 fcd_veh148,veh_passenger,1.02,
veh105,264.00,-13904703_0,5.10,0.00,0.08,534.00,310196058_0,14.57,6.47,270.00,2383.55,26.00,4,0.00,62.55,1,vehroute_veh105 tripinfo_veh105 routing_veh105 fcd_veh105,veh_passenger,0.91,
veh112,282.00,32117788#4_1,5.10,0.00,0.49,534.00,35078322#4_1,26.87,6.36,252.00,2109.06,22.00,3,0.00,60.92,1,vehroute_veh112 tripinfo_veh112 routing_veh112 fcd_veh112,veh_passenger,0.89,
veh87,219.00,50214631#2_0,0.20,0.00,0.33,535.00,-4215666#2_0,7.58,7.92,316.00,3021.44,25.00,6,0.00,82.44,1,vehroute_veh87 tripinfo_veh87 routing_veh87 fcd_veh87,veh_passenger,1.00,
veh125,315.00,35078319#0_0,5.10,7.68,0.82,535.00,917565357_0,8.25,12.55,220.00,1725.20,27.00,2,0.00,71.61,1,vehroute_veh125 tripinfo_veh125 routing_veh125 fcd_veh125,veh_passenger,0.92,
veh136,342.00,-111286353#1_0,5.10,0.00,0.17,538.00,43100899#0_0,17.62,8.52,196.00,1999.15,4.00,2,0.00,42.90,1,vehroute_veh136 tripinfo_veh136 routing_veh136 fcd_veh136,veh_passenger,1.15,
veh65,164.00,4215666#0_0,5.10,0.00,0.62,543.00,-306917251#1_0,24.34,8.73,379.00,3424.36,32.00,6,0.00,110.26,1,vehroute_veh65 tripinfo_veh65 routing_veh65 fcd_veh65,veh_passenger,1.12,
veh160,403.00,4395858#4_0,5.10,0.00,0.84,543.00,-3957127_0,26.59,8.04,140.00,1070.41,16.00,3,0.00,45.23,1,vehroute_veh160 tripinfo_veh160 routing_veh160 fcd_veh160,veh_passenger,1.04,
